node	bin
NODE_95_length_162039_cov_220.429826	116
NODE_71_length_189013_cov_214.410393	116
NODE_462_length_44477_cov_239.389086	116
NODE_96_length_157907_cov_241.104383	116
NODE_79_length_178263_cov_220.160902	116
NODE_108_length_150696_cov_241.169383	116
NODE_117_length_142636_cov_208.907323	116
NODE_202_length_93543_cov_231.105939	116
NODE_80_length_177755_cov_232.610861	116
NODE_576_length_31964_cov_209.083017	116
NODE_132_length_130109_cov_235.870477	116
NODE_81_length_177624_cov_209.015797	116
NODE_18_length_366504_cov_226.752705	116
NODE_488_length_40751_cov_218.341803	116
NODE_525_length_37035_cov_237.593862	116
NODE_61_length_201696_cov_231.939730	116
NODE_8_length_529993_cov_197.829201	116
NODE_812_length_12309_cov_229.311490	116
NODE_687_length_21132_cov_229.228733	116
NODE_251_length_80720_cov_201.824484	116
NODE_175_length_104470_cov_230.137691	116
NODE_315_length_66349_cov_245.899674	116
NODE_221_length_89658_cov_232.946308	116
NODE_179_length_103634_cov_239.556310	116
NODE_260_length_77351_cov_247.107470	116
NODE_622_length_27660_cov_239.292519	116
NODE_720_length_18646_cov_235.529396	116
NODE_553_length_34773_cov_232.847658	116
NODE_452_length_44864_cov_234.341271	116
NODE_569_length_32536_cov_231.569902	116
NODE_337_length_62372_cov_235.555258	116
NODE_713_length_19430_cov_232.892439	116
NODE_65_length_196293_cov_236.777255	116
NODE_87_length_175084_cov_216.462449	116
NODE_763_length_16046_cov_224.328310	116
NODE_265_length_76367_cov_227.731969	116
NODE_165_length_110342_cov_234.630473	116
NODE_395_length_51642_cov_231.190571	116
NODE_89_length_172755_cov_221.151563	116
NODE_1089_length_3088_cov_426.279261	11
NODE_930_length_6343_cov_809.978212	11
NODE_715_length_18976_cov_728.867713	11
NODE_700_length_20389_cov_760.548441	11
NODE_389_length_52800_cov_660.843341	11
NODE_657_length_23375_cov_790.613508	11
NODE_605_length_29164_cov_655.724381	11
NODE_619_length_28013_cov_686.732134	11
NODE_891_length_8523_cov_389.758621	11
NODE_886_length_8759_cov_420.588695	11
NODE_681_length_21565_cov_897.472338	11
NODE_786_length_13996_cov_482.885015	11
NODE_614_length_28360_cov_438.172690	11
NODE_693_length_20813_cov_419.640235	11
NODE_731_length_18008_cov_865.774188	11
NODE_229_length_87739_cov_972.699284	11
NODE_146_length_121990_cov_1070.837249	11
NODE_1104_length_2853_cov_574.392423	11
NODE_498_length_39814_cov_805.376871	11
NODE_778_length_14621_cov_640.475697	11
NODE_572_length_32342_cov_896.936321	11
NODE_612_length_28498_cov_467.818163	11
NODE_189_length_99156_cov_387.547421	11
NODE_1028_length_4056_cov_745.110722	11
NODE_608_length_28974_cov_593.408175	11
NODE_898_length_7932_cov_779.699378	11
NODE_250_length_81332_cov_454.869176	11
NODE_312_length_67177_cov_420.704866	11
NODE_884_length_8827_cov_410.116279	11
NODE_521_length_37379_cov_721.656387	11
NODE_830_length_11299_cov_564.169157	11
NODE_780_length_14453_cov_725.254133	11
NODE_1063_length_3502_cov_862.638816	11
NODE_532_length_36276_cov_898.824135	11
NODE_490_length_40650_cov_464.905998	11
NODE_804_length_13007_cov_641.198425	11
NODE_761_length_16113_cov_471.782289	11
NODE_463_length_44423_cov_420.529548	11
NODE_402_length_51300_cov_530.870212	11
NODE_561_length_33759_cov_681.972199	11
NODE_258_length_77771_cov_719.724201	11
NODE_493_length_40276_cov_488.963974	11
NODE_1095_length_3028_cov_574.058863	11
NODE_285_length_72699_cov_521.258342	11
NODE_649_length_24239_cov_411.138108	11
NODE_822_length_11839_cov_736.165054	11
NODE_831_length_11234_cov_848.534932	11
NODE_522_length_37198_cov_492.481625	11
NODE_890_length_8534_cov_458.808586	11
NODE_439_length_46123_cov_554.877616	11
NODE_160_length_114745_cov_538.633813	11
NODE_435_length_46760_cov_603.948057	11
NODE_771_length_15069_cov_123.679632	127
NODE_176_length_104033_cov_115.424340	127
NODE_113_length_145811_cov_122.194592	127
NODE_237_length_85986_cov_111.144825	127
NODE_567_length_32708_cov_126.397513	127
NODE_22_length_328122_cov_114.437283	127
NODE_290_length_71717_cov_122.621557	127
NODE_232_length_87054_cov_114.818262	127
NODE_280_length_73059_cov_118.127788	127
NODE_1088_length_3103_cov_232.796588	127
NODE_482_length_41660_cov_119.528374	127
NODE_650_length_24108_cov_124.080780	127
NODE_752_length_16867_cov_113.341006	127
NODE_730_length_18012_cov_115.382191	127
NODE_183_length_101963_cov_110.711377	127
NODE_313_length_67049_cov_114.142117	127
NODE_677_length_21778_cov_133.802559	127
NODE_76_length_181362_cov_123.028173	127
NODE_322_length_65220_cov_128.679705	127
NODE_190_length_98774_cov_112.206992	127
NODE_225_length_89326_cov_117.897694	127
NODE_297_length_70112_cov_119.594630	127
NODE_838_length_10814_cov_247.707129	127
NODE_354_length_60396_cov_123.400176	127
NODE_52_length_231667_cov_114.633775	127
NODE_60_length_202001_cov_115.356501	127
NODE_560_length_33833_cov_121.739623	127
NODE_328_length_64432_cov_112.375538	127
NODE_871_length_9443_cov_132.720494	127
NODE_460_length_44532_cov_114.846595	127
NODE_204_length_93327_cov_114.498992	127
NODE_443_length_45710_cov_133.664265	127
NODE_44_length_249094_cov_118.964054	127
NODE_358_length_59986_cov_110.280422	127
NODE_384_length_53841_cov_128.786264	127
NODE_201_length_93810_cov_118.288006	127
NODE_193_length_97282_cov_112.051992	127
NODE_346_length_61415_cov_150.574609	127
NODE_836_length_10873_cov_150.970235	127
NODE_326_length_64637_cov_126.333266	127
NODE_966_length_5230_cov_116.249082	127
NODE_901_length_7903_cov_112.250637	127
NODE_293_length_70880_cov_138.709382	127
NODE_121_length_138628_cov_114.194143	127
NODE_14_length_430145_cov_121.476231	127
NODE_811_length_12337_cov_120.211285	127
NODE_74_length_183430_cov_113.050121	127
NODE_127_length_133732_cov_202.947209	127
NODE_805_length_12835_cov_115.574178	127
NODE_368_length_58935_cov_116.794175	127
NODE_67_length_193954_cov_117.080496	127
NODE_277_length_73571_cov_116.867389	127
NODE_688_length_21102_cov_30.018435	183
NODE_286_length_72402_cov_15.311043	183
NODE_638_length_25088_cov_45.624096	183
NODE_264_length_76430_cov_15.496432	183
NODE_339_length_62174_cov_15.405383	183
NODE_613_length_28474_cov_19.998733	183
NODE_141_length_125065_cov_15.231933	183
NODE_858_length_9925_cov_32.438298	183
NODE_378_length_54993_cov_16.153063	183
NODE_249_length_81498_cov_15.569245	183
NODE_77_length_180129_cov_15.750547	183
NODE_606_length_29136_cov_14.855713	183
NODE_430_length_48097_cov_33.596374	183
NODE_90_length_170592_cov_18.167670	183
NODE_63_length_199222_cov_29.313681	183
NODE_177_length_103924_cov_15.289095	183
NODE_374_length_56168_cov_15.223210	183
NODE_72_length_188295_cov_29.458510	183
NODE_172_length_107672_cov_15.138417	183
NODE_268_length_75926_cov_29.390848	183
NODE_20_length_342183_cov_15.760657	183
NODE_274_length_74140_cov_29.477951	183
NODE_363_length_59551_cov_35.402061	183
NODE_318_length_66080_cov_15.145278	183
NODE_180_length_103397_cov_28.653568	183
